          T       (-)EV        EVEL        EVIN        EVRD       EV_TO         EHO         EHF        EHEL        EHIN        EHRD       EH_TO        HPHI       HPIND       HPRAD       HP_TO      (-)DEV       DHPHI       I0(T)       IT(T)       IM(T)       IB(T)   IFRONT(T)      DI0(T)      DIT(T)      DIM(T)      DIB(T)  EVtower(T)  HPtower(T) EELtower(T)
 0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.1126E+02  0.0000E+00  0.2903E+00  0.0000E+00  0.0000E+00 -0.1050E+01  0.0000E+00  0.1700E+02  0.0000E+00  0.0000E+00  0.0000E+00
 0.5000E-01  0.3333E+00  0.1245E-08  0.3241E-04  0.3332E+00  0.2855E+00  0.0000E+00 -0.1120E-50  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.8852E-03  0.8610E-07  0.8851E-03  0.7583E-03  0.6665E+01 -0.1770E-01  0.6351E+00  0.1120E+02  0.1191E+01  0.1630E+01  0.1191E+01  0.2418E+02 -0.1046E+01  0.3110E+02  0.3459E+02  0.0000E+00  0.0000E+00  0.0000E+00
 0.1000E+00  0.9444E+00  0.1758E-07  0.2168E-03  0.9442E+00  0.9131E+00  0.0000E+00 -0.2517E-50  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.2509E-02  0.5757E-06  0.2508E-02  0.2426E-02  0.1222E+02 -0.3247E-01  0.2234E+01  0.1115E+02  0.3810E+01  0.3543E+01  0.3810E+01  0.3768E+02 -0.1042E+01  0.4004E+02  0.4007E+02  0.0000E+00  0.0000E+00  0.0000E+00
 0.1500E+00  0.1336E+01  0.7523E-07  0.5775E-03  0.1336E+01  0.1543E+01  0.0000E+00 -0.2523E-50  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.3549E-02  0.1534E-05  0.3548E-02  0.4099E-02  0.7837E+01 -0.2082E-01  0.4209E+01  0.1110E+02  0.6439E+01  0.5495E+01  0.6438E+01  0.3973E+02 -0.1038E+01  0.3369E+02  0.3701E+02  0.0000E+00  0.0000E+00  0.0000E+00
 0.2000E+00  0.1415E+01  0.1968E-06  0.1057E-02  0.1414E+01  0.2026E+01  0.0000E+00 -0.1762E-50  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.3758E-02  0.2807E-05  0.3755E-02  0.5382E-02  0.1568E+01 -0.4166E-02  0.6095E+01  0.1105E+02  0.8455E+01  0.7187E+01  0.8454E+01  0.3501E+02 -0.1034E+01  0.2396E+02  0.3044E+02  0.0000E+00  0.0000E+00  0.0000E+00
 0.2500E+00  0.1295E+01  0.3950E-06  0.1592E-02  0.1294E+01  0.2357E+01  0.0000E+00 -0.9410E-51  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.3441E-02  0.4228E-05  0.3436E-02  0.6260E-02 -0.2388E+01  0.6342E-02  0.7675E+01  0.1100E+02  0.9834E+01  0.8534E+01  0.9834E+01  0.2807E+02 -0.1030E+01  0.1586E+02  0.2352E+02  0.0000E+00  0.0000E+00  0.0000E+00
 0.3000E+00  0.1095E+01  0.6750E-06  0.2142E-02  0.1092E+01  0.2571E+01  0.0000E+00 -0.3198E-51  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.2908E-02  0.5690E-05  0.2902E-02  0.6830E-02 -0.4014E+01  0.1066E-01  0.8908E+01  0.1095E+02  0.1073E+02  0.9556E+01  0.1073E+02  0.2140E+02 -0.1026E+01  0.1014E+02  0.1756E+02  0.0000E+00  0.0000E+00  0.0000E+00
 0.3500E+00  0.8799E+00  0.1037E-05  0.2686E-02  0.8772E+00  0.2707E+01  0.0000E+00  0.8888E-52  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.2337E-02  0.7136E-05  0.2330E-02  0.7191E-02 -0.4295E+01  0.1141E-01  0.9834E+01  0.1089E+02  0.1130E+02  0.1031E+02  0.1130E+02  0.1586E+02 -0.1022E+01  0.6318E+01  0.1286E+02  0.0000E+00  0.0000E+00  0.0000E+00
 0.4000E+00  0.6812E+00  0.1480E-05  0.3216E-02  0.6780E+00  0.2791E+01  0.0000E+00  0.3375E-51  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.1809E-02  0.8542E-05  0.1801E-02  0.7412E-02 -0.3974E+01  0.1056E-01  0.1051E+02  0.1084E+02  0.1165E+02  0.1086E+02  0.1165E+02  0.1155E+02 -0.1018E+01  0.3799E+01  0.9286E+01  0.0000E+00  0.0000E+00  0.0000E+00
 0.4500E+00  0.5087E+00  0.2001E-05  0.3727E-02  0.5050E+00  0.2839E+01  0.0000E+00  0.4789E-51  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.1351E-02  0.9899E-05  0.1341E-02  0.7542E-02 -0.3450E+01  0.9164E-02  0.1101E+02  0.1079E+02  0.1185E+02  0.1125E+02  0.1185E+02  0.8308E+01 -0.1014E+01  0.2140E+01  0.6617E+01  0.0000E+00  0.0000E+00  0.0000E+00
 0.5000E+00  0.3635E+00  0.2597E-05  0.4219E-02  0.3593E+00  0.2865E+01  0.0000E+00  0.5520E-51  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.9655E-03  0.1121E-04  0.9543E-03  0.7611E-02 -0.2904E+01  0.7714E-02  0.1136E+02  0.1074E+02  0.1196E+02  0.1153E+02  0.1196E+02  0.5890E+01 -0.1010E+01  0.1043E+01  0.4637E+01  0.0000E+00  0.0000E+00  0.0000E+00
 0.5500E+00  0.2431E+00  0.3266E-05  0.4694E-02  0.2384E+00  0.2876E+01  0.0000E+00  0.5825E-51  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.6458E-03  0.1247E-04  0.6333E-03  0.7640E-02 -0.2407E+01  0.6395E-02  0.1161E+02  0.1069E+02  0.1200E+02  0.1173E+02  0.1200E+02  0.4098E+01 -0.1006E+01  0.3138E+00  0.3168E+01  0.0000E+00  0.0000E+00  0.0000E+00
 0.6000E+00  0.1440E+00  0.4005E-05  0.5154E-02  0.1389E+00  0.2877E+01  0.0000E+00  0.5871E-51  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.3826E-03  0.1369E-04  0.3689E-03  0.7642E-02 -0.1982E+01  0.5264E-02  0.1178E+02  0.1064E+02  0.1201E+02  0.1186E+02  0.1201E+02  0.2768E+01 -0.1002E+01 -0.1716E+00  0.2077E+01  0.0000E+00  0.0000E+00  0.0000E+00
 0.6500E+00  0.6267E-01  0.4812E-05  0.5600E-02  0.5706E-01  0.2871E+01  0.0000E+00  0.5763E-51  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.1664E-03  0.1487E-04  0.1516E-03  0.7627E-02 -0.1627E+01  0.4322E-02  0.1189E+02  0.1059E+02  0.1198E+02  0.1194E+02  0.1198E+02  0.1779E+01 -0.9973E+00 -0.4945E+00  0.1265E+01  0.0000E+00  0.0000E+00  0.0000E+00
 0.7000E+00 -0.4162E-02  0.5684E-05  0.6033E-02 -0.1020E-01  0.2861E+01  0.0000E+00  0.5567E-51  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00 -0.1107E-04  0.1603E-04 -0.2710E-04  0.7600E-02 -0.1337E+01  0.3550E-02  0.1196E+02  0.1054E+02  0.1194E+02  0.1199E+02  0.1194E+02  0.1043E+01 -0.9929E+00 -0.7081E+00  0.6587E+00  0.0000E+00  0.0000E+00  0.0000E+00
 0.7500E+00 -0.5918E-01  0.6621E-05  0.6456E-02 -0.6565E-01  0.2848E+01  0.0000E+00  0.5328E-51  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00 -0.1572E-03  0.1715E-04 -0.1744E-03  0.7565E-02 -0.1100E+01  0.2923E-02  0.1200E+02  0.1049E+02  0.1189E+02  0.1201E+02  0.1189E+02  0.4928E+00 -0.9884E+00 -0.8480E+00  0.2056E+00  0.0000E+00  0.0000E+00  0.0000E+00
 0.8000E+00 -0.1047E+00  0.7621E-05  0.6868E-02 -0.1115E+00  0.2833E+01  0.0000E+00  0.5071E-51  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00 -0.2781E-03  0.1824E-04 -0.2963E-03  0.7525E-02 -0.9097E+00  0.2417E-02  0.1201E+02  0.1044E+02  0.1182E+02  0.1201E+02  0.1182E+02  0.8150E-01 -0.9837E+00 -0.9381E+00 -0.1334E+00  0.0000E+00  0.0000E+00  0.0000E+00
 0.8500E+00 -0.1425E+00  0.8681E-05  0.7272E-02 -0.1498E+00  0.2816E+01  0.0000E+00  0.4813E-51  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00 -0.3785E-03  0.1932E-04 -0.3978E-03  0.7481E-02 -0.7565E+00  0.2009E-02  0.1201E+02  0.1039E+02  0.1176E+02  0.1200E+02  0.1176E+02 -0.2262E+00 -0.9788E+00 -0.9944E+00 -0.3868E+00  0.0000E+00  0.0000E+00  0.0000E+00
 0.9000E+00 -0.1742E+00  0.9802E-05  0.7668E-02 -0.1819E+00  0.2799E+01  0.0000E+00  0.4565E-51  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00 -0.4627E-03  0.2037E-04 -0.4831E-03  0.7436E-02 -0.6338E+00  0.1684E-02  0.1199E+02  0.1035E+02  0.1169E+02  0.1197E+02  0.1169E+02 -0.4560E+00 -0.9737E+00 -0.1028E+01 -0.5758E+00  0.0000E+00  0.0000E+00  0.0000E+00
 0.9500E+00 -0.2010E+00  0.1098E-04  0.8058E-02 -0.2091E+00  0.2782E+01  0.0000E+00  0.4334E-51  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00 -0.5339E-03  0.2140E-04 -0.5553E-03  0.7390E-02 -0.5362E+00  0.1424E-02  0.1196E+02  0.1030E+02  0.1161E+02  0.1194E+02  0.1161E+02 -0.6273E+00 -0.9684E+00 -0.1047E+01 -0.7162E+00  0.0000E+00  0.0000E+00  0.0000E+00
 0.1000E+01 -0.2239E+00  0.1222E-04  0.8441E-02 -0.2324E+00  0.2764E+01  0.0000E+00  0.4122E-51  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00 -0.5949E-03  0.2242E-04 -0.6173E-03  0.7343E-02 -0.4588E+00  0.1219E-02  0.1193E+02  0.1025E+02  0.1154E+02  0.1190E+02  0.1154E+02 -0.7544E+00 -0.9628E+00 -0.1056E+01 -0.8200E+00  0.0000E+00  0.0000E+00  0.0000E+00
 0.1050E+01 -0.2438E+00  0.1351E-04  0.8817E-02 -0.2527E+00  0.2746E+01  0.0000E+00  0.3931E-51  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00 -0.6477E-03  0.2342E-04 -0.6711E-03  0.7295E-02 -0.3979E+00  0.1057E-02  0.1189E+02  0.1020E+02  0.1146E+02  0.1186E+02  0.1147E+02 -0.8480E+00 -0.9570E+00 -0.1058E+01 -0.8960E+00  0.0000E+00  0.0000E+00  0.0000E+00
 0.1100E+01 -0.2613E+00  0.1486E-04  0.9189E-02 -0.2706E+00  0.2729E+01  0.0000E+00  0.3761E-51  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00 -0.6943E-03  0.2441E-04 -0.7187E-03  0.7248E-02 -0.3503E+00  0.9306E-03  0.1184E+02  0.1015E+02  0.1139E+02  0.1181E+02  0.1139E+02 -0.9164E+00 -0.9511E+00 -0.1057E+01 -0.9510E+00  0.0000E+00  0.0000E+00  0.0000E+00
